Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_2240,Q4JIM4,Presenilin-1 (PS-1) (EC 3.4.23.-) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit],1.00E-125,1.798826816,0.00873868,activation of immune response; biological adhesion; cell adhesion; cell surface receptor linked signal transduction; immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_140,P01024,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],2.00E-32,,,activation of immune response; cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_632,P01024,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],9.00E-122,7.398940209,3.13E-26,activation of immune response; cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_10765,Q689D1,Toll-like receptor 2 (CD antigen CD282),6.00E-24,5.059410821,2.88E-08,activation of immune response; cell surface receptor linked signal transduction; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine production
Phel_contig_6665,Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase),2.00E-40,1.989023175,0.017056161,activation of immune response; cell surface receptor linked signal transduction; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine production
Phel_contig_10324,Q3ZCC3,TNF receptor-associated factor 6 (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRAF6),6.00E-16,3.212117879,0.001300023,activation of immune response; cell surface receptor linked signal transduction; immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_193,P51617,Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1),2.00E-51,4.29515638,5.82E-08,activation of immune response; cell surface receptor linked signal transduction; positive regulation of immune response; positive regulation of immune system process
Phel_contig_107,Q15485,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),2.00E-56,2.508337636,0.002109292,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_1813,O70497,Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin),2.00E-21,2.54755807,0.001586331,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_18432,O70497,Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin),8.00E-15,,,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_312,P27918,Properdin (Complement factor P),2.00E-20,5.891983059,5.62E-11,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_3127,Q00685,Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment),3.00E-141,3.480771916,6.34E-06,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_3867,Q29041,Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin),1.00E-64,-1.583698252,0.006683192,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_6139,O70497,Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin),5.00E-18,4.255629266,8.06E-11,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_7739,Q15485,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),1.00E-62,-3.647814994,9.88E-06,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process
Phel_contig_1529,Q3SYW2,Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],2.00E-58,3.139218367,3.44E-09,activation of immune response; humoral immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune sytem process
Phel_contig_6497,Q9WUN2,Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (T2K) (TANK-binding kinase 1),9.00E-160,2.39472265,0.005561545,activation of immune response; immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine biosynthetic rpcoess; regulation of cytokine production
